level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099785,0.000226,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100424,7e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,1950.0,1950.0,0.0,1.0,1.100106,7.2e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099685,7.6e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099646,0.000413,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1952.0,1952.0,0.0,1.0,1.10052,7.5e-05,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100424,0.000213,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,4.0,10.1.1.3,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100468,0.000305,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.1002,0.000244,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,friis-nakagami,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099882,0.000307,project/results_tcp/raw/80211ax/friis-nakagami/nodes_5/run_tcp_80211ax_friis_nakagami_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099783,0.000229,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100421,7.2e-05,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,1950.0,1950.0,0.0,1.0,1.100099,8.5e-05,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,5.0,10.1.1.4,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099675,0.000114,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,10.0,10.0,1024.0,0.5,20.0,logdistance,1Mbps,1024.0,5.0,7.0,10.1.1.5,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099633,0.000478,project/results_tcp/raw/80211ax/logdistance/nodes_5/run_tcp_80211ax_logdistance_5nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,1.0,10.1.1.1,10.1.1.6,1950.0,1950.0,0.0,1.0,1.099768,0.000217,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,2.0,10.1.1.2,10.1.1.6,1952.0,1952.0,0.0,1.0,1.100424,7.2e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
flow,1.0,80211ax,tcp,5.0,20.0,10.0,1024.0,0.5,20.0,friis,1Mbps,1024.0,5.0,3.0,10.1.1.3,10.1.1.6,1950.0,1950.0,0.0,1.0,1.100105,7.3e-05,project/results_tcp/raw/80211ax/friis/nodes_5/run_tcp_80211ax_friis_5nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,1.0
