level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,flow,2,80211g,tcp,30,50.0,10.0,1024,0.5,20,friis,2Mbps,1024.1,60.0,1,10.1.1.1,10.1.1.31,2270,2270.1,0,1.0,1.35083,0.004406,dataRateMbps
aggregate,1.0,80211ax,tcp,10.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,56274.0,56267.0,7.0,0.9999,22.142809,0.001883,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_5m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,10.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,57003.0,56996.0,7.0,0.9999,22.430097,0.001641,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_5m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,10.0,5.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,20.0,-1.0,ALL_STA,10.1.1.11,56241.0,56239.0,2.0,1.0,22.131295,0.001591,project/results_tcp/raw/80211ax/friis/nodes_10/run_tcp_80211ax_friis_10nodes_5m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,20.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,102291.0,101769.0,522.0,0.9949,40.394246,0.02858,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_10m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,20.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,108709.0,107902.0,807.0,0.9926,42.936383,0.039763,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_10m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,20.0,10.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,113481.0,112722.0,759.0,0.9933,44.878741,0.046134,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_10m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,20.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,100126.0,99247.0,879.0,0.9912,39.660682,0.041684,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_20m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,2.0,80211ax,tcp,20.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,93994.0,93583.0,411.0,0.9956,37.162573,0.033216,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_20m_seed2.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,3.0,80211ax,tcp,20.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,104999.0,103774.0,1225.0,0.9883,41.571171,0.061532,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_20m_seed3.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
aggregate,1.0,80211ax,tcp,20.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,40.0,-1.0,ALL_STA,10.1.1.21,72759.0,72620.0,139.0,0.9981,28.667488,0.010897,project/results_tcp/raw/80211ax/friis/nodes_20/run_tcp_80211ax_friis_20nodes_30m_seed1.csv,,,,,,,,,,,,,,,,,,,,,,,,2.0
