wifiStandard,trafficType,nStations,distance,propagationModel,dataRate,txPackets_mean,txPackets_std,txPackets_var,txPackets_count,rxPackets_mean,rxPackets_std,rxPackets_var,rxPackets_count,lostPackets_mean,lostPackets_std,lostPackets_var,lostPackets_count,pdr_mean,pdr_std,pdr_var,pdr_count,lossRate_mean,lossRate_std,lossRate_var,lossRate_count,throughputMbps_mean,throughputMbps_std,throughputMbps_var,throughputMbps_count,throughputPerNodeMbps_mean,throughputPerNodeMbps_std,throughputPerNodeMbps_var,throughputPerNodeMbps_count,meanDelay_mean,meanDelay_std,meanDelay_var,meanDelay_count,offeredLoadMbps_mean,offeredLoadMbps_std,offeredLoadMbps_var,offeredLoadMbps_count,efficiency_mean,efficiency_std,efficiency_var,efficiency_count,jainFairness_mean,jainFairness_std,jainFairness_var,jainFairness_count,txPackets_ci95,rxPackets_ci95,lostPackets_ci95,pdr_ci95,lossRate_ci95,throughputMbps_ci95,throughputPerNodeMbps_ci95,meanDelay_ci95,offeredLoadMbps_ci95,efficiency_ci95,jainFairness_ci95
80211ax,tcp,5.0,5.0,friis,1Mbps,9752.666666666666,3.055050463303695,9.33333333333212,3,9752.666666666666,3.055050463303695,9.33333333333212,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.499857666666667,0.0011203023401446634,1.255077333333609e-06,3,1.0999715333333333,0.00022406046802887745,5.020309333331961e-08,3,0.00016946666666666667,9.360113959420222e-05,8.761173333333331e-09,3,5.0,0.0,0.0,3,1.0999715333333333,0.00022406046802887745,5.020309333331961e-08,3,0.9999997100306212,3.482562953742537e-07,1.2128244726779945e-13,3,7.58977859434013,7.58977859434013,0.0,0.0,0.0,0.0027832099084950123,0.0005566419816988652,0.00023253688743644758,0.0,0.0005566419816988652,8.651864208872649e-07
80211ax,tcp,5.0,5.0,friis-nakagami,1Mbps,9590.0,135.09996299037243,18252.0,3,9590.0,135.09996299037243,18252.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.406978,0.07682157847245769,0.005901554918999974,3,1.0813956,0.015364315694491546,0.0002360621967599992,3,0.0002406,5.3252605570056385e-05,2.83584e-09,3,5.0,0.0,0.0,3,1.0813956,0.015364315694491546,0.0002360621967599992,3,0.9982545096483847,0.001510361249583752,2.281191104244193e-06,3,335.634,335.634,0.0,0.0,0.0,0.19085078262280716,0.038170156524561454,0.00013229748271044315,0.0,0.038170156524561454,0.0037522481607113255
80211ax,tcp,5.0,5.0,logdistance,1Mbps,9753.333333333334,2.3094010767586344,5.33333333333394,3,9753.333333333334,2.3094010767586344,5.33333333333394,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.500208,0.0010431260709999792,1.0881119999998538e-06,3,1.1000416,0.00020862521419990536,4.352447999995639e-08,3,0.0001333333333333333,4.062774093317683e-05,1.650613333333332e-09,3,5.0,0.0,0.0,3,1.1000416,0.00020862521419990536,4.352447999995639e-08,3,0.999999758780309,2.610931698805626e-07,6.816964335828034e-14,3,5.73733333333366,5.73733333333366,0.0,0.0,0.0,0.002591477954283057,0.0005182955908563866,0.00010093304911813789,0.0,0.0005182955908563866,6.486437378664392e-07
80211ax,tcp,5.0,10.0,friis,1Mbps,9752.666666666666,3.055050463303695,9.33333333333212,3,9752.666666666666,3.055050463303695,9.33333333333212,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.4999226666666665,0.0010516578974801925,1.105984333332459e-06,3,1.0999845333333333,0.00021033157949613374,4.423937333333843e-08,3,0.0001698,9.321029986004766e-05,8.688160000000003e-09,3,5.0,0.0,0.0,3,1.0999845333333333,0.00021033157949613374,4.423937333333843e-08,3,0.9999997126524939,3.4722380133025024e-07,1.2056436821022907e-13,3,7.58977859434013,7.58977859434013,0.0,0.0,0.0,0.0026126738967946327,0.0005225347793591631,0.00023156590935155663,0.0,0.0005225347793591631,8.626213564838812e-07
80211ax,tcp,5.0,10.0,friis-nakagami,1Mbps,9747.333333333334,9.018499505645773,81.33333333333303,3,9747.333333333334,9.018499505645773,81.33333333333303,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.4969589999999995,0.004889511734314807,2.3907325000002195e-05,3,1.0993918,0.000977902346863049,9.562930000002588e-07,3,0.0002517333333333333,4.02424320007294e-05,1.6194533333333294e-09,3,5.0,0.0,0.0,3,1.0993918,0.000977902346863049,9.562930000002588e-07,3,0.999998991874523,1.4258515116549622e-06,2.0330525332887407e-12,3,22.405002903617515,22.405002903617515,0.0,0.0,0.0,0.012147200821601735,0.002429440164320565,9.997581141525061e-05,0.0,0.002429440164320565,3.5422973897994726e-06
80211ax,tcp,5.0,10.0,logdistance,1Mbps,9753.333333333334,2.3094010767586344,5.33333333333394,3,9752.666666666666,3.055050463303695,9.33333333333212,3,0.6666666666666666,1.1547005383792517,1.3333333333333335,3,0.9999316379546076,0.0001184065359289676,1.4020107750697895e-08,3,6.836204539240054e-05,0.0001184065359289676,1.4020107750697895e-08,3,5.500179333333334,0.0010244775904494094,1.0495543333330279e-06,3,1.1000358666666668,0.00020489551808990802,4.198217333333182e-08,3,0.00016093333333333333,3.521211912585401e-05,1.239893333333334e-09,3,5.0,0.0,0.0,3,1.1000358666666668,0.00020489551808990802,4.198217333333182e-08,3,0.9999997583380814,2.620960809363639e-07,6.869435564220104e-14,3,5.73733333333366,7.58977859434013,2.868666666666667,0.0002941618813234995,0.0002941618813234995,0.002545148821524109,0.0005090297643048867,8.747881294037877e-05,0.0,0.0005090297643048867,6.511353081219157e-07
80211ax,tcp,5.0,20.0,friis,1Mbps,9752.666666666666,3.055050463303695,9.33333333333212,3,9752.666666666666,3.055050463303695,9.33333333333212,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.499917666666668,0.0009960594025125071,9.921343333335727e-07,3,1.0999835333333334,0.00019921188050249167,3.968537333333902e-08,3,0.00017366666666666667,9.610501200943337e-05,9.236173333333332e-09,3,5.0,0.0,0.0,3,1.0999835333333334,0.00019921188050249167,3.968537333333902e-08,3,0.9999997203789802,3.4024383858215074e-07,1.1576586969311664e-13,3,7.58977859434013,7.58977859434013,0.0,0.0,0.0,0.0024745484314211597,0.0004949096862842077,0.0002387573533463722,0.0,0.0004949096862842077,8.452807683361067e-07
80211ax,tcp,5.0,20.0,friis-nakagami,1Mbps,9581.333333333334,151.47717099726074,22945.33333333337,3,9580.666666666666,152.1096096021987,23137.3333333333,3,0.6666666666666666,1.1547005383792517,1.3333333333333335,3,0.9999297209923396,0.0001217268119733384,1.4817416753192481e-08,3,7.027900766039726e-05,0.00012172681197333039,1.4817416753190531e-08,3,5.402850333333333,0.08501063691876098,0.007226808389333409,3,1.0805700666666667,0.01700212738375217,0.0002890723355733355,3,0.00038780000000000005,2.0758612670407402e-05,4.3091999999999876e-10,3,5.0,0.0,0.0,3,1.0805700666666667,0.01700212738375217,0.0002890723355733355,3,0.9983112151960393,0.0014629441622814412,2.1402056219533477e-06,3,376.32052359716533,377.8917149878312,2.868666666666667,0.0003024105699627093,0.00030241056996268943,0.2111951734111483,0.0422390346822296,5.157141460887021e-05,0.0,0.0422390346822296,0.0036344480789988086
80211ax,tcp,5.0,20.0,logdistance,1Mbps,5859.333333333333,1.1547005383791202,1.3333333333330302,3,5855.333333333333,1.1547005383791202,1.3333333333330302,3,4.0,0.0,0.0,3,0.9993173284611032,1.3454958925291574e-07,1.810359196812834e-14,3,0.0006826715388968211,1.345495892369067e-07,1.8103591963820324e-14,3,3.3014463333333333,0.00045965893152791144,2.1128633333338118e-07,3,0.6602892666666667,9.193178630560613e-05,8.45145333333963e-09,3,5.986666666666667e-05,1.6165807537309522e-06,2.6133333333333338e-12,3,5.0,0.0,0.0,3,0.6602892666666667,9.193178630560613e-05,8.45145333333963e-09,3,0.599999945917488,2.9460251174501765e-08,8.679063992647326e-16,3,2.8686666666663405,2.8686666666663405,0.0,3.3426668549517883e-07,3.3426668545540703e-07,0.0011419482463916975,0.00022838964927839874,4.016133333333334e-06,0.0,0.00022838964927839874,7.318922761960608e-08
80211ax,tcp,5.0,30.0,friis,1Mbps,9752.666666666666,3.055050463303695,9.33333333333212,3,9752.666666666666,3.055050463303695,9.33333333333212,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.499932666666667,0.0010370580183066806,1.0754893333341796e-06,3,1.0999865333333334,0.00020741160366132894,4.30195733333642e-08,3,0.00018046666666666664,9.751068317540047e-05,9.508333333333327e-09,3,5.0,0.0,0.0,3,1.0999865333333334,0.00020741160366132894,4.30195733333642e-08,3,0.999999715813305,3.4265253582705107e-07,1.1741076030870853e-13,3,7.58977859434013,7.58977859434013,0.0,0.0,0.0,0.002576402859126978,0.0005152805718253778,0.0002422495159323222,0.0,0.0005152805718253778,8.512647869338949e-07
