level,seed,wifiStandard,trafficType,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,lossRate,throughputMbps,throughputPerNodeMbps,meanDelay,jainFairness,efficiency
aggregate,3.0,80211g,tcp,30.0,20.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1,ALL_STA,AP,45136.0,44750.0,386.0,0.9914480680609713,0.0085519319390287,27.031994,0.9010664666666667,0.011437633333333332,0.6085296269134596,0.45053323333333334
aggregate,3.0,80211g,tcp,30.0,20.0,10.0,1024.0,0.5,20.0,friis-nakagami,2Mbps,1024.0,60.0,-1,ALL_STA,AP,9171.0,9068.0,103.0,0.9887689455893578,0.011231054410642205,5.386559,0.17955196666666667,0.16733030000000002,0.24801204279180045,0.08977598333333334
aggregate,3.0,80211g,tcp,30.0,20.0,10.0,1024.0,0.5,20.0,logdistance,2Mbps,1024.0,60.0,-1,ALL_STA,AP,11280.0,11226.0,54.0,0.9952127659574468,0.004787234042553212,6.329931,0.2109977,3.6933333333333334e-05,0.0996271818317061,0.10549885
aggregate,3.0,80211g,tcp,30.0,30.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1,ALL_STA,AP,43998.0,43576.0,422.0,0.9904086549388609,0.009591345061139123,25.946979999999996,0.8648993333333332,0.0049333,0.4262673898273581,0.4324496666666666
aggregate,3.0,80211g,tcp,30.0,30.0,10.0,1024.0,0.5,20.0,friis-nakagami,2Mbps,1024.0,60.0,-1,ALL_STA,AP,11016.0,10842.0,174.0,0.9842047930283224,0.015795206971677578,6.317937,0.21059789999999998,0.051013333333333334,0.14606871296533122,0.10529894999999999
aggregate,3.0,80211g,tcp,30.0,30.0,10.0,1024.0,0.5,20.0,logdistance,2Mbps,1024.0,60.0,-1,ALL_STA,AP,7864.0,7808.0,56.0,0.9928789420142421,0.007121057985757906,4.402516,0.14675053333333335,2.3033333333333332e-05,0.06666664615513743,0.07337526666666667
aggregate,3.0,80211g,tcp,30.0,40.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1,ALL_STA,AP,44480.0,44240.0,240.0,0.9946043165467626,0.0053956834532373765,26.135078,0.8711692666666667,0.003038233333333333,0.32485131291359687,0.43558463333333336
aggregate,3.0,80211g,tcp,30.0,40.0,10.0,1024.0,0.5,20.0,friis-nakagami,2Mbps,1024.0,60.0,-1,ALL_STA,AP,11410.0,11264.0,146.0,0.9872042068361087,0.012795793163891345,6.5528960000000005,0.2184298666666667,0.008092,0.13751232027507035,0.10921493333333335
aggregate,3.0,80211g,tcp,30.0,40.0,10.0,1024.0,0.5,20.0,logdistance,2Mbps,1024.0,60.0,-1,ALL_STA,AP,7864.0,7808.0,56.0,0.9928789420142421,0.007121057985757906,4.402476999999999,0.1467492333333333,2.53e-05,0.06666664549437148,0.07337461666666666
aggregate,3.0,80211g,tcp,30.0,50.0,10.0,1024.0,0.5,20.0,friis,2Mbps,1024.0,60.0,-1,ALL_STA,AP,22154.0,22073.0,81.0,0.9963437753904487,0.003656224609551284,13.044003,0.4348001,0.0016621000000000001,0.25890978693943717,0.21740005
aggregate,3.0,80211g,tcp,30.0,50.0,10.0,1024.0,0.5,20.0,friis-nakagami,2Mbps,1024.0,60.0,-1,ALL_STA,AP,11079.0,10953.0,126.0,0.9886271324126726,0.011372867587327362,6.317156,0.21057186666666666,0.006640733333333333,0.11189846557360314,0.10528593333333333
