wifiStandard,nStations,distance,propagationModel,dataRate,udp_throughputMbps_mean,udp_throughputPerNodeMbps_mean,udp_pdr_mean,udp_meanDelay_mean,udp_jainFairness_mean,udp_efficiency_mean,tcp_throughputMbps_mean,tcp_throughputPerNodeMbps_mean,tcp_pdr_mean,tcp_meanDelay_mean,tcp_jainFairness_mean,tcp_efficiency_mean,delta_tcp_minus_udp_throughputMbps_mean,ratio_tcp_over_udp_throughputMbps_mean,delta_tcp_minus_udp_throughputPerNodeMbps_mean,ratio_tcp_over_udp_throughputPerNodeMbps_mean,delta_tcp_minus_udp_pdr_mean,ratio_tcp_over_udp_pdr_mean,delta_tcp_minus_udp_meanDelay_mean,ratio_tcp_over_udp_meanDelay_mean,delta_tcp_minus_udp_jainFairness_mean,ratio_tcp_over_udp_jainFairness_mean,delta_tcp_minus_udp_efficiency_mean,ratio_tcp_over_udp_efficiency_mean
80211ax,5.0,5.0,friis,1mbps,5.141930666666666,1.0283861333333333,1.0,8.766666666666667e-05,0.9999999999999496,1.0283861333333333,5.499857666666667,1.0999715333333333,1.0,0.0001694666666666,0.9999997100306212,1.0999715333333333,0.357927000000001,1.0696094566813816,0.07158540000000002,1.0696094566813814,0.0,1.0,8.179999999993333e-05,1.9330798479079847,-2.8996932843750045e-07,0.9999997100306716,0.07158540000000002,1.0696094566813814
80211ax,5.0,5.0,friis-nakagami,1mbps,5.141888000000001,1.0283776,1.0,0.0005776666666666,0.999999999604117,1.0283776,5.406978,1.0813956,1.0,0.0002406,0.9982545096483848,1.0813956,0.26508999999999894,1.0515549930297974,0.05301800000000001,1.0515549930297976,0.0,1.0,-0.0003370666666666,0.4165031736872956,-0.0017454899557322046,0.9982545100435768,0.05301800000000001,1.0515549930297976
80211ax,5.0,5.0,logdistance,1mbps,5.141928666666666,1.0283857333333335,1.0,9.1e-05,0.9999999999991426,1.0283857333333335,5.500208,1.1000416,1.0,0.0001333333333333,0.999999758780309,1.1000416,0.35827933333333384,1.069678005386565,0.07165586666666646,1.0696780053865649,0.0,1.0,4.23333333333e-05,1.465201465201099,-2.412188335743082e-07,0.9999997587811664,0.07165586666666646,1.0696780053865649
80211ax,5.0,10.0,friis,1mbps,5.141931333333333,1.0283862666666663,1.0,8.800000000000001e-05,1.0,1.0283862666666663,5.4999226666666665,1.0999845333333331,1.0,0.0001698,0.999999712652494,1.0999845333333331,0.35799133333333355,1.0696219591678717,0.0715982666666668,1.0696219591678717,0.0,1.0,8.18e-05,1.9295454545454545,-2.8734750601167036e-07,0.999999712652494,0.0715982666666668,1.0696219591678717
80211ax,5.0,10.0,friis-nakagami,1mbps,5.141582666666667,1.0283165333333333,0.9998666666666668,0.0007166666666666,0.9999999670448712,1.0283165333333333,5.496959,1.0993918,1.0,0.0002517333333333,0.999998991874523,1.0993918,0.35537633333333307,1.0691180821884416,0.07107526666666675,1.0691180821884416,0.00013333333333320763,1.0001333511134816,-0.0004649333333333,0.35125581395347455,-9.751703481386542e-07,0.9999990248296198,0.07107526666666675,1.0691180821884416
80211ax,5.0,10.0,logdistance,1mbps,5.141915,1.028383,1.0,0.0001133333333333,0.9999999999883254,1.028383,5.500179333333334,1.1000358666666668,0.9999316379546076,0.0001609333333333,0.9999997583380814,1.1000358666666668,0.3582643333333344,1.0696752733822583,0.0716528666666667,1.069675273382258,-6.836204539240054e-05,0.9999316379546076,4.759999999999999e-05,1.4200000000001234,-2.41650244037217e-07,0.999999758349756,0.0716528666666667,1.069675273382258
80211ax,5.0,20.0,friis,1mbps,5.141923666666667,1.0283847333333334,1.0,8.833333333333333e-05,0.99999999997771,1.0283847333333334,5.499917666666668,1.0999835333333334,1.0,0.0001736666666666,0.9999997203789802,1.0999835333333334,0.3579940000000006,1.0696225815876563,0.07159880000000007,1.069622581587656,0.0,1.0,8.533333333326666e-05,1.9660377358483019,-2.7959872983540635e-07,0.9999997204012702,0.07159880000000007,1.069622581587656
80211ax,5.0,20.0,friis-nakagami,1mbps,5.141808,1.0283616,0.9996,0.0015406666666666,0.9999999981861686,1.0283616,5.402850333333333,1.0805700666666669,0.9999297209923396,0.0003878,0.9983112151960392,1.0805700666666669,0.26104233333333315,1.0507685882734892,0.0522084666666669,1.0507685882734894,0.0003297209923395217,1.000329852933513,-0.0011528666666666,0.2517092167892796,-0.0016887829901294227,0.9983112170068074,0.0522084666666669,1.0507685882734894
80211ax,5.0,20.0,logdistance,1mbps,3.0851486666666665,0.6170297333333333,0.6,6.8e-05,0.5999999999920994,0.6170297333333333,3.3014463333333333,0.6602892666666667,0.9993173284611032,5.986666666666667e-05,0.599999945917488,0.6602892666666667,0.21629766666666672,1.070109317260346,0.04325953333333332,1.070109317260346,0.39931732846110324,1.6655288807685054,-8.133333333333332e-06,0.8803921568627451,-5.4074611455234844e-08,0.9999999098756476,0.04325953333333332,1.070109317260346
80211ax,5.0,30.0,friis,1mbps,5.141926333333333,1.0283852666666666,1.0,9.433333333333331e-05,0.9999999999988908,1.0283852666666666,5.499932666666667,1.0999865333333334,1.0,0.0001804666666666,0.999999715813305,1.0999865333333334,0.35800633333333387,1.0696249440627927,0.07160126666666677,1.0696249440627927,0.0,1.0,8.613333333326668e-05,1.91307420494629,-2.84185585730512e-07,0.9999997158144143,0.07160126666666677,1.0696249440627927
