trafficType,wifiStandard,propagationModel,throughputMbps_mean,throughputPerNodeMbps_mean,pdr_mean,meanDelay_mean,jainFairness_mean,efficiency_mean
tcp,80211ax,friis,26.51890942777778,1.3500962988333334,0.9978431263030931,0.0068021731851851475,0.7475031037320482,0.7850462794166667
tcp,80211ax,friis-nakagami,17.979914444444443,1.0472937894814816,0.9927835461751034,0.025459923999999957,0.656163250482564,0.6319846891851851
tcp,80211ax,logdistance,8.191374099999999,0.5169574246296296,0.9962880599671677,0.00019042377777777,0.2993774638175231,0.32816175675925924
tcp,80211g,friis,21.08173781111111,1.4858674844444444,0.9952764149350993,0.0096283647407407,0.7333836493451421,0.9550813466666667
tcp,80211g,friis-nakagami,11.0286128,0.9762020853333333,0.9893663785975032,0.04011902966666662,0.4906060248305094,0.6946480826666667
tcp,80211g,logdistance,10.683478311111111,0.8261547386666667,0.9956904095703947,0.0008404721481481211,0.29711431838874197,0.5514738648888889
udp,80211ax,friis,25.884501311111112,1.3030570324814812,0.7311133333333333,0.01709809999999998,0.7504449838530458,0.7543670351296295
udp,80211ax,friis-nakagami,21.08995186666667,1.1371560314444444,0.6423122222222222,0.06877268888888885,0.6843286416906552,0.6714022846111111
udp,80211ax,logdistance,7.707968233333333,0.4856097931111111,0.29967333333333335,4.9088888888886665e-05,0.29955554136230383,0.3079358332222222
udp,80211g,friis,17.11293842222222,1.023236046074074,0.5971205555555555,0.12148543888888885,0.6926160368521231,0.6144543363703703
udp,80211g,friis-nakagami,10.194298311111112,0.6963327476296296,0.4359255555555555,0.15993997777777774,0.48972154567814086,0.44886304159259255
udp,80211g,logdistance,7.604342611111111,0.48195281288888886,0.29783388888888884,0.0047191166666666565,0.2994206061688022,0.3061060497777778
