dataRate,distance,efficiency_ci95,efficiency_count,efficiency_mean,efficiency_std,efficiency_var,jainFairness_ci95,jainFairness_count,jainFairness_mean,jainFairness_std,jainFairness_var,lossRate_ci95,lossRate_count,lossRate_mean,lossRate_std,lossRate_var,lostPackets_ci95,lostPackets_count,lostPackets_mean,lostPackets_std,lostPackets_var,meanDelay_ci95,meanDelay_count,meanDelay_mean,meanDelay_std,meanDelay_var,nStations,offeredLoadMbps_ci95,offeredLoadMbps_count,offeredLoadMbps_mean,offeredLoadMbps_std,offeredLoadMbps_var,pdr_ci95,pdr_count,pdr_mean,pdr_std,pdr_var,propagationModel,rxPackets_ci95,rxPackets_count,rxPackets_mean,rxPackets_std,rxPackets_var,throughputMbps_ci95,throughputMbps_count,throughputMbps_mean,throughputMbps_std,throughputMbps_var,throughputPerNodeMbps_ci95,throughputPerNodeMbps_count,throughputPerNodeMbps_mean,throughputPerNodeMbps_std,throughputPerNodeMbps_var,trafficType,txPackets_ci95,txPackets_count,txPackets_mean,txPackets_std,txPackets_var,wifiStandard
1mbps,30.0,0.0001856984786528,3,1.0282810666666666,7.47476644003971e-05,5.587213333314393e-09,1.624634911530675e-07,3,0.9999999510982338,6.539507809717169e-08,4.276516239335183e-15,0.0005737333333332,3,0.0002666666666666,0.0002309401076758,5.333333333332158e-08,2.868666666666667,3,1.3333333333333333,1.1547005383792517,1.3333333333333337,5.886011888461576e-05,3,0.0018526666666666,2.3692474191889117e-05,5.613333333333316e-10,5.0,0.0,3,5.0,0.0,0.0,0.0005737333333332,3,0.9997333333333334,0.0002309401076758,5.333333333332158e-08,friis-nakagami,2.86866666666683,3,4878.666666666667,1.1547005383793172,1.333333333333485,0.000928492393266,3,5.141405333333333,0.0003737383220027,1.3968033333345446e-07,0.0001856984786528,3,1.0282810666666666,7.47476644003971e-05,5.587213333314393e-09,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,30.0,2.868666665455308e-07,3,0.4113533333333333,1.1547005378916533e-07,1.3333333322072736e-14,1.7632677607152249e-12,3,0.3999999999957764,7.097535089256265e-13,5.037500434322395e-25,0.0,3,0.6,0.0,0.0,0.0,3,2928.0,0.0,0.0,1.4343333333333296e-06,3,4.366666666666666e-05,5.773502691896242e-07,3.3333333333333153e-13,5.0,0.0,3,5.0,0.0,0.0,0.0,3,0.4000000000000001,0.0,0.0,logdistance,0.0,3,1952.0,0.0,0.0,1.4343333324191206e-06,3,2.0567666666666664,5.773502688216353e-07,3.3333333290841454e-13,2.868666665455308e-07,3,0.4113533333333333,1.1547005378916533e-07,1.3333333322072736e-14,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,40.0,5.737333330313455e-07,3,1.0283848666666666,2.3094010755429367e-07,5.333333327718871e-14,2.9289562997192327e-12,3,0.9999999999934948,1.1789684230217633e-12,1.3899665424824228e-24,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7.986030017752535e-06,3,0.0001013333333333,3.2145502536643207e-06,1.0333333333333348e-11,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,friis,0.0,3,4880.0,0.0,0.0,2.8686666654752137e-06,3,5.141924333333333,1.1547005378996655e-06,1.3333333322257773e-12,5.737333330313455e-07,3,1.0283848666666666,2.3094010755429367e-07,5.333333327718871e-14,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,40.0,0.0011745166347385,3,1.0278104666666663,0.0004727684140604,2.2350997333319299e-07,5.663384741114526e-06,3,0.9999985218025268,2.2796351648665285e-06,5.196736484896045e-12,0.0013145882143596,3,0.0007999999999999,0.0005291502622129,2.799999999999828e-07,6.572941071798327,3,4.0,2.6457513110645907,7.0,0.0003228110485283,3,0.002414,0.0001299384469662,1.688399999999998e-08,5.0,0.0,3,5.0,0.0,0.0,0.0013145882143597,3,0.9992,0.0005291502622129,2.800000000000271e-07,friis-nakagami,6.572941071798327,3,4876.0,2.6457513110645907,7.0,0.0058725831736937,3,5.139052333333333,0.0023638420703025,5.5877493333321004e-06,0.0011745166347385,3,1.0278104666666663,0.0004727684140604,2.2350997333319299e-07,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,40.0,4.968676415926869e-07,3,0.4113527999999999,1.9999999997105666e-07,3.9999999988422665e-14,2.3057787669081586e-12,3,0.3999999999928767,9.281259528929692e-13,8.61417784433482e-25,0.0,3,0.6,0.0,0.0,0.0,3,2928.0,0.0,0.0,2.4843382083229637e-06,3,4.7e-05,1.0000000000000014e-06,1.0000000000000028e-12,5.0,0.0,3,5.0,0.0,0.0,0.0,3,0.4000000000000001,0.0,0.0,logdistance,0.0,3,1952.0,0.0,0.0,2.484338207980673e-06,3,2.056764,9.999999998622222e-07,9.999999997244444e-13,4.968676415926869e-07,3,0.4113527999999999,1.9999999997105666e-07,3.9999999988422665e-14,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,50.0,2.86866666794348e-07,3,1.0283838666666665,1.1547005388931965e-07,1.333333334520238e-14,2.177846848703127e-13,3,0.9999999999953606,8.766305817005774e-14,7.684811767726927e-27,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,7.98603001775253e-06,3,0.0001043333333333,3.214550253664319e-06,1.0333333333333338e-11,5.0,0.0,3,5.0,0.0,0.0,0.0,3,1.0,0.0,0.0,friis,0.0,3,4880.0,0.0,0.0,1.4343333341707936e-06,3,5.141919333333333,5.773502695267216e-07,3.333333337225781e-13,2.86866666794348e-07,3,1.0283838666666665,1.1547005388931965e-07,1.333333334520238e-14,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,50.0,0.0001495401016968,3,1.0283088666666669,6.019313360630127e-05,3.6232133333460362e-09,4.043702809139727e-08,3,0.9999999858859095,1.627678065567976e-08,2.6493358851311093e-16,0.0010343124758881,3,0.0003333333333333,0.0004163331998932,1.7333333333334698e-07,5.171562379440515,3,1.6666666666666667,2.0816659994661326,4.333333333333333,0.0001207483785872,3,0.0029706666666666,4.86038407261538e-05,2.3623333333333263e-09,5.0,0.0,3,5.0,0.0,0.0,0.001034312475888,3,0.9996666666666668,0.0004163331998932,1.733333333333118e-07,friis-nakagami,5.171562379440742,3,4878.333333333333,2.081665999466224,4.333333333333712,0.0007477005084827,3,5.141544333333333,0.0003009656680309,9.058033333331129e-08,0.0001495401016968,3,1.0283088666666669,6.019313360630127e-05,3.6232133333460362e-09,udp,0.0,3,4880.0,0.0,0.0,80211ax
1mbps,50.0,4.968676416616411e-07,3,0.4113516,1.9999999999881227e-07,3.9999999999524904e-14,3.933023157758838e-12,3,0.3999999999796388,1.5831271058757356e-12,2.5062914333584827e-24,0.0,3,0.6,0.0,0.0,0.0,3,2928.0,0.0,0.0,1.4343333333333416e-06,3,5.633333333333333e-05,5.773502691896291e-07,3.333333333333372e-13,5.0,0.0,3,5.0,0.0,0.0,0.0,3,0.4000000000000001,0.0,0.0,logdistance,0.0,3,1952.0,0.0,0.0,2.484338208532307e-06,3,2.056758,1.0000000000842668e-06,1.0000000001685338e-12,4.968676416616411e-07,3,0.4113516,1.9999999999881227e-07,3.9999999999524904e-14,udp,0.0,3,4880.0,0.0,0.0,80211ax
2mbps,5.0,0.0001478931216407,3,1.0274967833333333,5.953018842011946e-05,3.5438433333349252e-09,2.138940562062544e-07,3,0.99999983851191,8.609699576719166e-08,7.412692680135818e-15,0.0001434333333333,3,0.0003333333333332,5.773502691895622e-05,3.3333333333325993e-09,2.8686666666666665,3,6.666666666666667,1.1547005383792517,1.333333333333333,4.3030000000000366e-06,3,0.000188,1.732050807568892e-06,3.000000000000051e-12,10.0,0.0,3,20.0,0.0,0.0,0.0001434333333333,3,0.9996666666666668,5.773502691895622e-05,3.3333333333325993e-09,friis,2.8686666666653617,3,19508.33333333333,1.1547005383787263,1.333333333332121,0.0029578624328166,3,20.549935666666663,0.0011906037684029,1.4175373333352192e-06,0.0002957862432815,3,2.0549935666666665,0.0001190603768402,1.41753733333397e-08,udp,0.0,3,19515.0,0.0,0.0,80211ax
2mbps,5.0,0.0001471853679309,3,1.0274417666666666,5.924530220475019e-05,3.510005833332177e-09,1.4110849048354186e-07,3,0.999999866180595,5.6799227259317655e-08,3.226152217255614e-15,0.0005171562379441,3,0.0005666666666666,0.0002081665999466,4.3333333333349696e-08,10.040333333333336,3,10.666666666666666,4.041451884327381,16.333333333333332,0.0001197990370875,3,0.0012633333333333,4.822171018673375e-05,2.325333333333341e-09,10.0,0.0,3,20.0,0.0,0.0,0.0005171562379442,3,0.9994333333333332,0.0002081665999467,4.33333333333719e-08,friis-nakagami,10.040333333334358,3,19504.33333333333,4.041451884327793,16.333333333336668,0.0029437073586191,3,20.548835333333333,0.0011849060440954,1.404002333333951e-06,0.0002943707358618,3,2.0548835333333333,0.0001184906044095,1.4040023333328711e-08,udp,0.0,3,19515.0,0.0,0.0,80211ax
2mbps,5.0,0.0001524021689837,3,1.0274529833333332,6.134517775123925e-05,3.7632308333311405e-09,1.1595151482008973e-07,3,0.9999998467399892,4.667299904321892e-08,2.1783688396883145e-15,0.0001434333333333,3,0.0003666666666666,5.7735026918956215e-05,3.333333333332599e-09,2.868666666666667,3,7.333333333333333,1.1547005383792517,1.3333333333333337,0.0,3,0.000251,0.0,0.0,10.0,0.0,3,20.0,0.0,0.0,0.0001434333333333,3,0.9996333333333332,5.7735026918956215e-05,3.333333333332599e-09,logdistance,2.868666666667319,3,19507.666666666668,1.154700538379514,1.3333333333339397,0.0030480433796744,3,20.549059666666665,0.0012269035550244,1.5052923333315849e-06,0.0003048043379675,3,2.0549059666666665,0.0001226903555024,1.5052923333324562e-08,udp,0.0,3,19515.0,0.0,0.0,80211ax
2mbps,10.0,0.0002005851320638,3,1.0275125833333334,8.073986520510473e-05,6.518925833338482e-09,1.1036469591758809e-07,3,0.9999999083645252,4.442418328867116e-08,1.97350806086545e-15,0.0001434333333333,3,0.0003333333333332,5.773502691895622e-05,3.3333333333325993e-09,3.794889297170312,3,6.333333333333333,1.5275252316519468,2.333333333333334,4.968676416645905e-06,3,0.000191,1.9999999999999944e-06,3.999999999999977e-12,10.0,0.0,3,20.0,0.0,0.0,0.0001434333333333,3,0.9996666666666668,5.773502691895622e-05,3.3333333333325993e-09,friis,3.794889297171544,3,19508.666666666668,1.5275252316524428,2.333333333334849,0.0040117026412771,3,20.550251666666668,0.0016147973041018,2.6075703333345984e-06,0.0004011702641277,3,2.055025166666667,0.0001614797304102,2.6075703333353932e-08,udp,0.0,3,19515.0,0.0,0.0,80211ax
2mbps,10.0,0.0005062222455414,3,1.0270417833333332,0.0002037654309085,4.1520350833337175e-08,3.59785460933786e-06,3,0.9999988732319895,1.448214497238914e-06,2.0973252300129605e-12,0.0010828979191655,3,0.001,0.000435889894354,1.8999999999995819e-07,23.08341042345732,3,19.33333333333333,9.29157324317757,86.33333333333334,0.0005028581200386,3,0.0027033333333333,0.0002024112974449,4.0970333333333325e-08,10.0,0.0,3,20.0,0.0,0.0,0.0010828979191655,3,0.999,0.000435889894354,1.8999999999995819e-07,friis-nakagami,23.083410423458613,3,19495.666666666668,9.29157324317809,86.33333333334303,0.0101244449108315,3,20.540835666666663,0.0040753086181715,1.6608140333343593e-05,0.0010124444910828,3,2.0540835666666664,0.000407530861817,1.660814033333487e-07,udp,0.0,3,19515.0,0.0,0.0,80211ax
2mbps,10.0,2.656422508019295e-06,3,0.6167061166666666,1.0692676621563935e-06,1.1433333333333998e-12,7.680770944659531e-11,3,0.5999999999101048,3.0916768574132257e-11,9.55846579066452e-22,0.0,3,0.3998000000000001,0.0,0.0,0.0,3,7803.0,0.0,0.0,2.484338208322936e-06,3,0.000124,9.999999999999904e-07,9.999999999999808e-13,10.0,0.0,3,20.0,0.0,0.0,0.0,3,0.6002,0.0,0.0,logdistance,0.0,3,11712.0,0.0,0.0,5.312845016075992e-05,3,12.334122333333331,2.138535324327843e-05,4.5733333333979917e-10,5.31284501603859e-06,3,1.2334122333333333,2.1385353243127874e-06,4.573333333333599e-12,udp,0.0,3,19515.0,0.0,0.0,80211ax
