level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps,jainFairness,throughputPerNodeMbps,lossRate,efficiency
aggregate,1,80211ax,10,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19509,6,0.9997,20.550639,0.000187,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_5m_seed1.csv,2.0,0.9999998863343935,2.0550639,0.00029999999999996696,1.02753195
aggregate,2,80211ax,10,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19509,6,0.9997,20.550607,0.000187,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_5m_seed2.csv,2.0,0.9999998900821242,2.0550607,0.00029999999999996696,1.02753035
aggregate,3,80211ax,10,5.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,-1,ALL_STA,10.1.1.11,19515,19507,8,0.9996,20.548561,0.00019,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_5m_seed3.csv,2.0,0.9999997391192118,2.0548561,0.00039999999999995595,1.02742805
aggregate,1,80211ax,20,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,38894,111,0.9972,41.027252,0.005571,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_10m_seed1.csv,2.0,0.999995910121072,2.0513626,0.0028000000000000247,1.0256813
aggregate,2,80211ax,20,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,38895,110,0.9972,41.012939,0.005144,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_10m_seed2.csv,2.0,0.9999948743011228,2.05064695,0.0028000000000000247,1.025323475
aggregate,3,80211ax,20,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,38889,116,0.997,41.026063,0.005268,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_10m_seed3.csv,2.0,0.9999952431743345,2.05130315,0.0030000000000000027,1.025651575
aggregate,1,80211ax,20,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,36935,2070,0.9469,38.980073,0.019499,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_20m_seed1.csv,2.0,0.949996653031721,1.9490036499999999,0.053100000000000036,0.9745018249999999
aggregate,2,80211ax,20,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,36863,2142,0.9451,38.978074,0.019517,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_20m_seed2.csv,2.0,0.9499975647829766,1.9489037,0.05489999999999995,0.97445185
aggregate,3,80211ax,20,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,36910,2095,0.9463,38.976521,0.020645,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_20m_seed3.csv,2.0,0.9499966241196377,1.9488260499999999,0.05369999999999997,0.9744130249999999
aggregate,1,80211ax,20,30.0,10.0,1024,0.5,20,friis,2Mbps,1024,40.0,-1,ALL_STA,10.1.1.21,39005,25350,13655,0.6499,26.708873,0.00024,project/results/raw/80211ax/friis/nodes_20/run_80211ax_friis_20nodes_30m_seed1.csv,2.0,0.6499997476807204,1.33544365,0.35009999999999997,0.667721825
