level,seed,wifiStandard,nStations,distance,simulationTime,packetSize,interval,maxPackets,propagationModel,dataRate,payloadSize,offeredLoadMbps,flowId,source,destination,txPackets,rxPackets,lostPackets,pdr,throughputMbps,meanDelay,source_file,dataRateMbps
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1952,0,1.0,2.055668,0.000223,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1951,1,0.9995,2.054638,0.00023,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1952,0,1.0,2.055631,0.00036,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1950,1,0.9995,2.054574,0.00042,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1949,2,0.999,2.053613,0.000103,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1950,1,0.9995,2.054667,9.5e-05,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1949,2,0.999,2.053612,0.000105,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,3,80211ax,10,10.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1950,0,1.0,2.055717,0.000109,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_10m_seed3.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055713,0.00012,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055714,0.000136,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1951,1,0.9995,2.054625,0.000244,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1952,0,1.0,2.055679,0.000236,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1951,1,0.9995,2.054581,0.000445,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1951,0,1.0,2.05561,0.000463,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1950,1,0.9995,2.054661,0.000116,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1951,0,1.0,2.055715,0.000104,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,9,10.1.1.9,10.1.1.11,1951,1949,2,0.999,2.053599,0.000166,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,1,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,10,10.1.1.10,10.1.1.11,1950,1948,2,0.999,2.053599,0.000151,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed1.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,1,10.1.1.1,10.1.1.11,1953,1953,0,1.0,2.055714,0.000121,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,2,10.1.1.2,10.1.1.11,1952,1952,0,1.0,2.055714,0.000123,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,3,10.1.1.3,10.1.1.11,1952,1950,2,0.999,2.053589,0.000252,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,4,10.1.1.4,10.1.1.11,1952,1952,0,1.0,2.055666,0.00024,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,5,10.1.1.5,10.1.1.11,1952,1951,1,0.9995,2.055633,0.00045,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,6,10.1.1.6,10.1.1.11,1951,1951,0,1.0,2.055644,0.000458,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,7,10.1.1.7,10.1.1.11,1951,1950,1,0.9995,2.054662,0.000113,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
flow,2,80211ax,10,20.0,10.0,1024,0.5,20,friis,2Mbps,1024,20.0,8,10.1.1.8,10.1.1.11,1951,1950,1,0.9995,2.054662,0.000114,project/results/raw/80211ax/friis/nodes_10/run_80211ax_friis_10nodes_20m_seed2.csv,2.0
