wifiStandard,nStations,propagationModel,throughputMbps_mean,throughputPerNodeMbps_mean,pdr_mean,meanDelay_mean,jainFairness_mean,efficiency_mean
80211ax,5,friis,5.141925944444444,1.0283851888888889,1.0,9.400000000000001e-05,0.9999999999942343,1.0283851888888889
80211ax,10,friis,19.865113722222222,1.986511372222222,0.9663555555555555,0.0002236666666666667,0.9666665235242572,0.993255686111111
80211ax,20,friis,30.78867772222222,1.5394338861111112,0.748588888888889,0.0044525,0.749998242091875,0.7697169430555556
80211ax,30,friis,36.63141988888889,1.2210473296296296,0.5904777777777778,0.02923427777777778,0.6095308541824224,0.6105236648148148
80211ax,50,friis,36.995369277777776,0.7399073855555556,0.3501444444444444,0.051486055555555556,0.42602929947244056,0.3699536927777778
80211ax,5,friis-nakagami,5.141213444444444,1.028242688888889,0.9996777777777778,0.001678722222222222,0.9999997372703046,1.028242688888889
80211ax,10,friis-nakagami,18.640758388888887,1.864075838888889,0.8875444444444445,0.0415785,0.9318485597142453,0.9320379194444445
80211ax,20,friis-nakagami,26.208108944444447,1.3104054472222222,0.6253166666666666,0.09791027777777778,0.6813641428062379,0.6552027236111111
80211ax,30,friis-nakagami,28.03969583333333,0.9346565277777777,0.44245,0.10658727777777778,0.5063362393148033,0.4673282638888889
80211ax,50,friis-nakagami,27.41998272222222,0.5483996544444444,0.25657222222222226,0.09610866666666668,0.30209452934768527,0.2741998272222222
80211ax,5,logdistance,3.256546833333333,0.6513093666666667,0.6333333333333334,6.988888888888889e-05,0.6333333333246433,0.6513093666666667
80211ax,10,logdistance,8.564095222222223,0.8564095222222222,0.4167055555555555,8.1e-05,0.4166666411053148,0.4282047611111111
80211ax,20,logdistance,8.906389666666668,0.4453194833333333,0.21681111111111115,4.566666666666667e-05,0.2166666441071271,0.22265974166666666
80211ax,30,logdistance,8.906580333333332,0.2968860111111111,0.14464444444444444,3.05e-05,0.14444443284664552,0.14844300555555556
80211ax,50,logdistance,8.906229111111111,0.17812458222222224,0.08687222222222223,1.838888888888889e-05,0.08666665542778852,0.08906229111111112
80211g,5,friis,5.141815666666666,1.0283631333333332,1.0,0.00023561111111111113,0.9999999997234426,1.0283631333333332
80211g,10,friis,19.866152916666667,1.9866152916666664,0.9663833333333334,0.0005319722222222222,0.9666664777080034,0.9933076458333332
80211g,20,friis,20.679221444444444,1.0339610722222223,0.50155,0.2302198888888889,0.6913317042770446,0.5169805361111112
80211g,30,friis,20.22680186111111,0.6742267287037037,0.3270027777777778,0.20885188888888892,0.4993338537089494,0.33711336435185185
80211g,50,friis,19.650700222222223,0.3930140044444444,0.19066666666666665,0.16758783333333335,0.30574814884317614,0.1965070022222222
80211g,5,friis-nakagami,5.034833388888889,1.0069666777777777,0.9788555555555556,0.02113044444444444,0.9934695703533206,1.0069666777777777
80211g,10,friis-nakagami,13.2249785,1.32249785,0.6424,0.1921653888888889,0.7050751293593654,0.661248925
80211g,20,friis-nakagami,11.837746444444443,0.5918873222222222,0.2866166666666667,0.2670172222222222,0.3803052961379409,0.2959436611111111
80211g,30,friis-nakagami,10.712491777777778,0.35708305925925926,0.1731,0.19921194444444446,0.24101098345008312,0.17854152962962963
80211g,50,friis-nakagami,10.161441444444444,0.2032288288888889,0.09865555555555555,0.12017488888888889,0.12874674908999417,0.10161441444444445
80211g,5,logdistance,3.256482166666667,0.6512964333333333,0.6333333333333334,0.00016177777777777778,0.6333333332226382,0.6512964333333333
80211g,10,logdistance,8.563718833333333,0.8563718833333334,0.41667777777777776,0.00016866666666666668,0.41666659385310734,0.4281859416666667
80211g,20,logdistance,8.71828288888889,0.4359141444444445,0.21209444444444445,0.011846277777777777,0.21630435777143034,0.21795707222222224
80211g,30,logdistance,8.7387765,0.29129255000000004,0.14183888888888888,0.006883,0.14426179393460078,0.14564627500000002
80211g,50,logdistance,8.744452666666668,0.17488905333333335,0.085225,0.004535861111111111,0.08653695206223466,0.08744452666666667
