wifiStandard,nStations,distance,propagationModel,dataRate,txPackets_mean,txPackets_std,txPackets_var,txPackets_count,rxPackets_mean,rxPackets_std,rxPackets_var,rxPackets_count,lostPackets_mean,lostPackets_std,lostPackets_var,lostPackets_count,pdr_mean,pdr_std,pdr_var,pdr_count,lossRate_mean,lossRate_std,lossRate_var,lossRate_count,throughputMbps_mean,throughputMbps_std,throughputMbps_var,throughputMbps_count,throughputPerNodeMbps_mean,throughputPerNodeMbps_std,throughputPerNodeMbps_var,throughputPerNodeMbps_count,meanDelay_mean,meanDelay_std,meanDelay_var,meanDelay_count,offeredLoadMbps_mean,offeredLoadMbps_std,offeredLoadMbps_var,offeredLoadMbps_count,efficiency_mean,efficiency_std,efficiency_var,efficiency_count,jainFairness_mean,jainFairness_std,jainFairness_var,jainFairness_count,txPackets_ci95,rxPackets_ci95,lostPackets_ci95,pdr_ci95,lossRate_ci95,throughputMbps_ci95,throughputPerNodeMbps_ci95,meanDelay_ci95,offeredLoadMbps_ci95,efficiency_ci95,jainFairness_ci95
80211ax,5,30.0,friis-nakagami,1Mbps,4880.0,0.0,0.0,3,4878.666666666667,1.1547005383793172,1.333333333333485,3,1.3333333333333333,1.1547005383792517,1.3333333333333335,3,0.9997333333333334,0.00023094010767582486,5.333333333332158e-08,3,0.0002666666666666373,0.00023094010767582486,5.333333333332158e-08,3,5.141405333333333,0.000373738322002781,1.3968033333345443e-07,3,1.0282810666666666,7.47476644003971e-05,5.587213333314393e-09,3,0.0018526666666666667,2.3692474191889113e-05,5.613333333333317e-10,3,5.0,0.0,0.0,3,1.0282810666666666,7.47476644003971e-05,5.587213333314393e-09,3,0.9999999510982338,6.539507809717168e-08,4.276516239335183e-15,3,0.0,2.86866666666683,2.868666666666667,0.0005737333333332702,0.0005737333333332702,0.0009284923932660184,0.00018569847865280843,5.8860118884615764e-05,0.0,0.00018569847865280843,1.624634911530675e-07
80211ax,5,30.0,logdistance,1Mbps,4880.0,0.0,0.0,3,1952.0,0.0,0.0,3,2928.0,0.0,0.0,3,0.4000000000000001,0.0,0.0,3,0.6,0.0,0.0,3,2.0567666666666664,5.773502688216353e-07,3.3333333290841454e-13,3,0.4113533333333333,1.1547005378916533e-07,1.3333333322072736e-14,3,4.366666666666666e-05,5.773502691896242e-07,3.333333333333315e-13,3,5.0,0.0,0.0,3,0.4113533333333333,1.1547005378916533e-07,1.3333333322072736e-14,3,0.39999999999577646,7.097535089256265e-13,5.037500434322395e-25,3,0.0,0.0,0.0,0.0,0.0,1.4343333324191206e-06,2.868666665455308e-07,1.4343333333333296e-06,0.0,2.868666665455308e-07,1.7632677607152249e-12
80211ax,5,40.0,friis,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141924333333333,1.1547005378996657e-06,1.3333333322257773e-12,3,1.0283848666666666,2.3094010755429364e-07,5.333333327718871e-14,3,0.00010133333333333333,3.2145502536643207e-06,1.0333333333333348e-11,3,5.0,0.0,0.0,3,1.0283848666666666,2.3094010755429364e-07,5.333333327718871e-14,3,0.9999999999934949,1.1789684230217631e-12,1.3899665424824228e-24,3,0.0,0.0,0.0,0.0,0.0,2.8686666654752137e-06,5.737333330313455e-07,7.986030017752535e-06,0.0,5.737333330313455e-07,2.9289562997192323e-12
80211ax,5,40.0,friis-nakagami,1Mbps,4880.0,0.0,0.0,3,4876.0,2.6457513110645907,7.0,3,4.0,2.6457513110645907,7.0,3,0.9992000000000001,0.0005291502622129438,2.800000000000271e-07,3,0.0007999999999999859,0.0005291502622129018,2.7999999999998276e-07,3,5.139052333333333,0.002363842070302519,5.5877493333321004e-06,3,1.0278104666666665,0.0004727684140604076,2.2350997333319299e-07,3,0.002414,0.00012993844696624623,1.688399999999998e-08,3,5.0,0.0,0.0,3,1.0278104666666665,0.0004727684140604076,2.2350997333319299e-07,3,0.9999985218025267,2.2796351648665285e-06,5.196736484896045e-12,3,0.0,6.5729410717983265,6.5729410717983265,0.0013145882143597292,0.0013145882143596249,0.005872583173693796,0.0011745166347385202,0.0003228110485283921,0.0,0.0011745166347385202,5.663384741114526e-06
80211ax,5,40.0,logdistance,1Mbps,4880.0,0.0,0.0,3,1952.0,0.0,0.0,3,2928.0,0.0,0.0,3,0.4000000000000001,0.0,0.0,3,0.6,0.0,0.0,3,2.056764,9.999999998622222e-07,9.999999997244444e-13,3,0.41135279999999996,1.9999999997105666e-07,3.9999999988422665e-14,3,4.7000000000000004e-05,1.0000000000000014e-06,1.0000000000000028e-12,3,5.0,0.0,0.0,3,0.41135279999999996,1.9999999997105666e-07,3.9999999988422665e-14,3,0.3999999999928767,9.281259528929692e-13,8.61417784433482e-25,3,0.0,0.0,0.0,0.0,0.0,2.484338207980673e-06,4.968676415926869e-07,2.4843382083229633e-06,0.0,4.968676415926869e-07,2.3057787669081586e-12
80211ax,5,50.0,friis,1Mbps,4880.0,0.0,0.0,3,4880.0,0.0,0.0,3,0.0,0.0,0.0,3,1.0,0.0,0.0,3,0.0,0.0,0.0,3,5.141919333333333,5.773502695267216e-07,3.333333337225781e-13,3,1.0283838666666665,1.1547005388931963e-07,1.3333333345202381e-14,3,0.00010433333333333334,3.214550253664319e-06,1.0333333333333338e-11,3,5.0,0.0,0.0,3,1.0283838666666665,1.1547005388931963e-07,1.3333333345202381e-14,3,0.9999999999953606,8.766305817005774e-14,7.684811767726927e-27,3,0.0,0.0,0.0,0.0,0.0,1.4343333341707936e-06,2.86866666794348e-07,7.98603001775253e-06,0.0,2.86866666794348e-07,2.1778468487031267e-13
80211ax,5,50.0,friis-nakagami,1Mbps,4880.0,0.0,0.0,3,4878.333333333333,2.0816659994662237,4.333333333333712,3,1.6666666666666667,2.0816659994661326,4.333333333333333,3,0.9996666666666667,0.0004163331998932007,1.733333333333118e-07,3,0.00033333333333333365,0.0004163331998932429,1.7333333333334696e-07,3,5.141544333333333,0.0003009656680309422,9.058033333331129e-08,3,1.0283088666666667,6.019313360630127e-05,3.623213333346036e-09,3,0.0029706666666666666,4.86038407261538e-05,2.3623333333333263e-09,3,5.0,0.0,0.0,3,1.0283088666666667,6.019313360630127e-05,3.623213333346036e-09,3,0.9999999858859097,1.627678065567976e-08,2.649335885131109e-16,3,0.0,5.171562379440742,5.171562379440515,0.0010343124758880387,0.001034312475888144,0.0007477005084827135,0.00014954010169682304,0.00012074837858722743,0.0,0.00014954010169682304,4.0437028091397266e-08
80211ax,5,50.0,logdistance,1Mbps,4880.0,0.0,0.0,3,1952.0,0.0,0.0,3,2928.0,0.0,0.0,3,0.4000000000000001,0.0,0.0,3,0.6,0.0,0.0,3,2.056758,1.0000000000842668e-06,1.0000000001685338e-12,3,0.4113516,1.9999999999881224e-07,3.99999999995249e-14,3,5.633333333333333e-05,5.773502691896291e-07,3.3333333333333713e-13,3,5.0,0.0,0.0,3,0.4113516,1.9999999999881224e-07,3.99999999995249e-14,3,0.3999999999796388,1.5831271058757356e-12,2.5062914333584827e-24,3,0.0,0.0,0.0,0.0,0.0,2.484338208532307e-06,4.968676416616411e-07,1.4343333333333416e-06,0.0,4.968676416616411e-07,3.933023157758838e-12
80211ax,10,5.0,friis,2Mbps,19515.0,0.0,0.0,3,19508.333333333332,1.1547005383787263,1.3333333333321207,3,6.666666666666667,1.1547005383792515,1.333333333333333,3,0.9996666666666667,5.773502691895622e-05,3.3333333333325993e-09,3,0.0003333333333332966,5.773502691895622e-05,3.3333333333325993e-09,3,20.549935666666666,0.0011906037684029137,1.4175373333352192e-06,3,2.0549935666666665,0.00011906037684023892,1.41753733333397e-08,3,0.00018800000000000002,1.732050807568892e-06,3.000000000000051e-12,3,20.0,0.0,0.0,3,1.0274967833333333,5.953018842011946e-05,3.543843333334925e-09,3,0.9999998385119099,8.609699576719165e-08,7.412692680135818e-15,3,0.0,2.8686666666653617,2.8686666666666665,0.00014343333333331757,0.00014343333333331757,0.002957862432816659,0.00029578624328153557,4.3030000000000366e-06,0.0,0.00014789312164076779,2.1389405620625434e-07
80211ax,10,5.0,friis-nakagami,2Mbps,19515.0,0.0,0.0,3,19504.333333333332,4.041451884327793,16.333333333336668,3,10.666666666666666,4.041451884327381,16.333333333333332,3,0.9994333333333333,0.0002081665999467059,4.33333333333719e-08,3,0.0005666666666666412,0.00020816659994665255,4.333333333334969e-08,3,20.548835333333333,0.0011849060440954594,1.404002333333951e-06,3,2.0548835333333333,0.00011849060440950038,1.404002333332871e-08,3,0.0012633333333333333,4.8221710186733746e-05,2.325333333333341e-09,3,20.0,0.0,0.0,3,1.0274417666666666,5.924530220475019e-05,3.5100058333321774e-09,3,0.999999866180595,5.6799227259317655e-08,3.226152217255614e-15,3,0.0,10.040333333334358,10.040333333333335,0.0005171562379442816,0.0005171562379441491,0.0029437073586191594,0.00029437073586180277,0.00011979903708757914,0.0,0.00014718536793090138,1.4110849048354183e-07
